symbol,hgnc_id,entrez_id
A1BG,5,1
A1BG-AS1,37133,503538
A1CF,24086,29974
A2M,7,2
A2M-AS1,27057,144571
A2ML1,23336,144568
A2ML1-AS1,41022,100874108
A2ML1-AS2,41523,106478979
A2MP1,8,3
A3GALT2,30005,127550
A4GALT,18149,53947
A4GNT,17968,51146
AAAS,13666,8086
AACS,21298,65985
AACSP1,18226,729522
AADAC,17,13
AADACL2,24427,344752
AADACL2-AS1,50301,101928142
AADACL3,32037,126767
AADACL4,32038,343066
AADACP1,50305,201651
AADAT,17929,51166
AAGAB,25662,79719
AAK1,19679,22848
AAMDC,30205,28971
AAMP,18,14
AANAT,19,15
AAR2,15886,25980
AARD,33842,441376
AARS1,20,16
AARS1P1,49894,106480683
AARS2,21022,57505
AARSD1,28417,80755
AARSD1P1,54994,117981788
AASDH,23993,132949
AASDHPPT,14235,60496
AASS,17366,10157
AATBC,51526,284837
AATF,19235,26574
AATK,21,9625
AAVS1,22,17
ABALON,49667,103021294
ABAT,23,18
ABCA1,29,19
ABCA2,32,20
ABCA3,33,21
ABCA3P1,55707,342293
ABCA4,34,24
ABCA5,35,23461
ABCA6,36,23460
ABCA7,37,10347
ABCA8,38,10351
ABCA9,39,10350
ABCA9-AS1,39983,104355297
ABCA10,30,10349
ABCA11P,31,79963
ABCA12,14637,26154
ABCA13,14638,154664
ABCA17P,32972,650655
ABCB1,40,5243
ABCB4,45,5244
ABCB5,46,340273
ABCB6,47,10058
ABCB7,48,22
ABCB8,49,11194
ABCB9,50,23457
ABCB10,41,23456
ABCB10P1,14114,56476
ABCB10P3,31129,728248
ABCB10P4,31130,100132289
ABCB11,42,8647
ABCC1,51,4363
ABCC2,53,1244
ABCC3,54,8714
ABCC4,55,10257
ABCC5,56,10057
ABCC5-AS1,40055,100873982
ABCC6,57,368
ABCC6P1,33352,653190
ABCC6P2,33353,730013
ABCC8,59,6833
ABCC9,60,10060
ABCC10,52,89845
ABCC11,14639,85320
ABCC12,14640,94160
ABCC13,16022,150000
ABCD1,61,215
ABCD1P1,62,23785
ABCD1P2,63,26983
ABCD1P3,64,26982
ABCD1P4,65,26957
ABCD1P5,42662,642762
ABCD2,66,225
ABCD3,67,5825
ABCD4,68,5826
ABCE1,69,6059
ABCF1,70,23
ABCF1-DT,53628,107986587
ABCF2,71,10061
ABCF2-H2BK1,54751,114483834
ABCF2P1,48841,344653
ABCF2P2,48842,100422059
ABCF3,72,55324
ABCG1,73,9619
ABCG2,74,9429
ABCG4,13884,64137
ABCG5,13886,64240
ABCG8,13887,64241
ABHD1,17553,84696
ABHD2,18717,11057
ABHD3,18718,171586
ABHD4,20154,63874
ABHD5,21396,51099
