MT_iCHOv1_final,MT_iHsa,MT_iMM1415,MT_iRno,MT_recon_1,MT_recon_2_2_entrez
100756666,10,11754,100049583,100,6005
100767789,100,237940,100125370,10005,622
100771815,10005,76507,100145871,10005,6120
100771382,10007,13081,100158233,10005.3,22934
100762635,100129518,13115,100169747,10007,6240
100762926,100137049,217593,100190936,10020,6241
100763954,10020,20503,100216475,10026,635
100773901,10026,80879,100301568,10050,23743
100753544,100302263,20501,100359675,10057,1757
100758590,10038,54403,100359680,10057,6303
100769643,10039,232156,100359879,10087,6307
100764411,10050,18293,100359886,10090,6309
100759668,100507855,27402,100359982,10157,6319
100759957,100509620,13382,100360180,10164,6342
100773186,100526760,78920,100360507,10165,644
100767149,100526794,12846,100360582,10166,645
100767921,100526830,56847,100360621,10195,6389
100768211,100526832,11670,100361138,10195,6390
100768783,100526835,222,100361492,10195.3,6391
100769255,100529261,67689,100361529,10195.4,6392
100755384,10056,15445,100361574,10201,10993
100773614,10057,268860,100362333,10229,9869
100750743,10058,70750,100362350,10246,43
100689241,100861540,107766,100362644,10257,8879
100689034,10087,52430,100363253,10312,6448
100772358,10090,70266,100364027,10312,6470
100754462,100996643,23923,100364062,10317,6472
100755851,100996939,13195,100364990,10317,6476
100753681,101060521,227095,100365773,10317.3,6480
100750508,10130,109731,100365872,10317.4,6482
100771066,10134,17161,100365921,10317.5,6483
100765891,10135,11432,100909505,10327,6484
100754177,10157,78830,100909595,10327,6487
100751269,10162,50799,100909857,10331,10610
100771787,10164,14417,100910067,1036,6489
100766524,10165,246277,100910122,10380,8869
100689207,10166,14415,100910143,10390,6554
100769182,10170,14718,100910414,10396,6555
100758439,10171,14719,100910462,1040,6556
100769100,101927705,212647,100910486,10400,4891
100766230,101928195,17250,100910526,10400,30061
100767445,101928635,20859,100910671,10400.3,6557
100762904,101929583,20509,100910685,10402,6558
100753124,101929829,11761,100910717,10423,6559
100689225,101929857,19378,100910780,10423,6560
100761464,101929880,56752,100910881,10476,9990
100755154,101930168,11671,100911093,10476,10723
100773433,10195,11668,100911116,10554,6561
100773723,10201,110695,100911132,10555,9058
100768002,102157402,72535,100911154,10558,6563
100764842,10226,11669,100911156,10559,8170
100761026,10229,15930,100911165,10560,6564
100770177,10243,214084,100911305,10568,6565
